Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2016,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,HU,ZM,,,2.0,skulls,,H,W
2016,II,Aquilaria crassna,,Myrtales,Thymelaeaceae,Aquilaria,CN,LA,,1275.0,,timber,kg,T,A
2016,II,Opuntia spp.,,Caryophyllales,Cactaceae,Opuntia,IQ,NL,,,453.0,live,,,A
2016,II,Espostoa melanostele,,Caryophyllales,Cactaceae,Espostoa,HK,NL,,,620.0,live,,,A
2016,II,Parodia spp.,,Caryophyllales,Cactaceae,Parodia,GP,NL,,,35.0,live,,,A
2016,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,ES,MZ,,1.0,,trophies,,H,R
2016,II,Sobralia spp.,,Orchidales,Orchidaceae,Sobralia,US,PE,,,53.0,live,,T,A
2016,I,Falco hybrid,Aves,Falconiformes,Falconidae,Falco,KW,AE,AT,,6.0,live,,P,C
2016,II,Pionus menstruus,Aves,Psittaciformes,Psittacidae,Pionus,CN,GY,,26.0,,live,,B,W
2016,II,Aloe spp.,,Liliales,Liliaceae,Aloe,US,ZW,,10100.0,,live,,T,A
2016,II,Opuntia streptacantha,,Caryophyllales,Cactaceae,Opuntia,SG,JP,MX,540.0,,extract,,T,W
2016,II,Pecari tajacu,Mammalia,Artiodactyla,Tayassuidae,Pecari,US,IT,PE,3.0,,leather products (small),,T,C
2016,I,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,US,TR,ZW,,4.0,leather products (small),,T,C
2016,II,Hydnophora spp.,Anthozoa,Scleractinia,Merulinidae,Hydnophora,TR,ID,,,372.0,live,,T,F
2016,II,Masdevallia ensata,,Orchidales,Orchidaceae,Masdevallia,DE,EC,,18.0,,live,,T,A
2016,II,Pilosocereus gounellei,,Caryophyllales,Cactaceae,Pilosocereus,NO,NL,,,520.0,live,,,A
2016,I,Turbinicarpus schmiedickeanus,,Caryophyllales,Cactaceae,Turbinicarpus,CA,US,,,40.0,seeds,,T,D
2016,II,Pectinia spp.,Anthozoa,Scleractinia,Pectiniidae,Pectinia,BE,ID,,23.0,35.0,live,,T,F
2016,II,Acipenser transmontanus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,CH,FR,IT,,1.4,caviar,kg,T,C
2016,II,Testudo graeca,Reptilia,Testudines,Testudinidae,Testudo,LU,JE,,,1.0,live,,P,C
2016,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,TR,HK,MY,112.0,,skins,,T,W
2016,II,Papio ursinus,Mammalia,Primates,Cercopithecidae,Papio,DK,ZW,,,2.0,skulls,,H,W
2016,II,Montipora spp.,Anthozoa,Scleractinia,Acroporidae,Montipora,US,AU,,1527.0,,live,,T,W
2016,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,JP,LU,VN,2.0,2.0,leather products (small),,T,C
2016,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,DE,ZA,,38.0,,live,,T,C
2016,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,PH,FR,IT,,1.06,caviar,kg,T,C
2016,II,Euphyllia divisa,Anthozoa,Scleractinia,Caryophylliidae,Euphyllia,NO,ID,,2.0,,raw corals,,T,F
2016,II,Coelogyne odoardii,,Orchidales,Orchidaceae,Coelogyne,PT,MY,,,1.0,live,,P,A
2016,II,Aloe ferox,,Liliales,Liliaceae,Aloe,JP,DE,ZA,2000.0,2000.0,extract,kg,T,W
2016,I,Lutra lutra,Mammalia,Carnivora,Mustelidae,Lutra,JP,KW,ES,,1.0,live,,B,
2016,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,US,PL,,122.81,123.29,caviar,kg,T,C
2016,II,Varanus niloticus,Reptilia,Sauria,Varanidae,Varanus,FR,CH,SD,85.0,,leather products (small),,T,W
2016,II,Montipora spp.,Anthozoa,Scleractinia,Acroporidae,Montipora,PE,ID,,,107.0,live,,T,F
2016,II,Cacatua alba,Aves,Psittaciformes,Cacatuidae,Cacatua,BH,PH,,100.0,,live,,T,C
2016,II,Crocodylus novaeguineae,Reptilia,Crocodylia,Crocodylidae,Crocodylus,HK,IT,ID,31.0,,garments,,T,W
2016,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,IT,CA,VN,23.0,,leather products (small),,T,C
2016,II,Ferocactus townsendianus,,Caryophyllales,Cactaceae,Ferocactus,HK,NL,,,50.0,live,,,A
2016,II,Trachyphyllia geoffroyi,Anthozoa,Scleractinia,Trachyphylliidae,Trachyphyllia,DO,US,ID,,6.0,live,,T,W
2016,II,Eclectus roratus,Aves,Psittaciformes,Psittacidae,Eclectus,RU,AM,,,4.0,live,,T,C
2016,II,Euphorbia davyi,,Euphorbiales,Euphorbiaceae,Euphorbia,DE,ZA,,122.0,,live,,T,A
2016,I,Falco rusticolus,Aves,Falconiformes,Falconidae,Falco,GB,AE,AT,1.0,1.0,live,,B,C
2016,II,Aloe peglerae,,Liliales,Liliaceae,Aloe,GP,NL,,,14.0,live,,,A
2016,II,Miltonia hybrid,,Orchidales,Orchidaceae,Miltonia,UA,NL,,,1314.0,live,,,A
2016,II,Heosemys spinosa,Reptilia,Testudines,Geoemydidae,Heosemys,US,ID,,,35.0,live,,T,C
2016,III,Daboia russelii,Reptilia,Serpentes,Viperidae,Daboia,EC,DE,,,86.0,derivatives,,T,C
2016,II,Orchis morio,,Orchidales,Orchidaceae,Orchis,VN,FR,BE,,1011.0,derivatives,mg,T,A
2016,II,Lycalopex griseus,Mammalia,Carnivora,Canidae,Lycalopex,TR,IT,AR,1.0,,leather products (small),,T,W
2016,II,Oncidium hybrid,,Orchidales,Orchidaceae,Oncidium,SR,NL,,,44.0,live,,,A
